Study,n,Latitude,Longitude,Include
Vidal-Dupiol2013,2,-8.533761379,116.0161399,TRUE
Mayfield2014,3,21.98364195,120.7001751,TRUE
Vidal-Dupiol2014,4,-8.533761379,116.0161399,TRUE
Yuan2017,4,19.52732961,110.8197035,TRUE
Zhou2017,12,19.52732961,110.8197035,TRUE
Brener-Raffali2018,18,23.79415244,58.06176082,TRUE
Brener-Raffali2018,18,-22.29802354,166.4232049,TRUE
Delgadillo-Nuno2018,4,19.09547935,-104.4374711,TRUE
RSMAS2018,2,8.6276788,-79.055603,FALSE
Tang2018,6,19.52732961,110.8197035,TRUE
Wecker2018,10,-17.48425854,-149.8610513,TRUE
Zhou2018,6,19.52732961,110.8197035,TRUE
Poquita-Du2019,44,1.222474418,103.8611347,TRUE
Zhou2019,6,19.52732961,110.8197035,TRUE
Buitrago-Lopez2020,1,22.27778,39.05722,TRUE
Li2020,12,18.23331138,109.4820206,TRUE
Chuang-Mitarai2020,21,26.51548321,127.802256,TRUE
Becker2021,32,-17.466667,-149.816667,TRUE
Rutgers2021,1,21.451918,-157.795312,TRUE
Stephens2021,119,21.461413,-157.81711,TRUE
Zhu2021,12,10.680586,114.79558,TRUE
ConnellyEAPSI,59,21.98364195,120.7001751,TRUE
Grupstra2022,5,-17.53333,-149.8333,TRUE
